$city,count
Amsterdam,1
Anshan,4
Central,97
Chengxing,4
Daxi,2
Douliu,3
Draper,1
Hsinchu,57
Hsinchu County,14
Kaohsiung City,288
Kota Kinabalu,23
Kowloon,9
Kuala Lumpur,2
London,9
Los Angeles,9
Ma On Shan,1
Macao,2
NAN,32
Nam Định,8
Nantou City,4
New Taipei,416
Petaling Jaya,14
Pingtung City,23
Portland,1
Seattle,77
Shanghai,1
Singapore,51
Sydney,31
Taichung,353
Tainan City,21
Taipei,347
Taipei City,118
Taoyuan City,3
Taoyuan District,57
Tokyo,1
Toucheng,4
Vancouver,10
Yuen Long,4
Zhongli District,20
